version,1
codebook_name,mixed_125MHD4_263MHD2
bit_names,RS0095,RS0109,RS0175,RS0237,RS0307,RS0332,RS0384,RS0406,RS0451,RS0468,RS0548,RS64.0,RS156.0,RS278.0,RS313.0,RS643.0,RS740.0,RS810.0
name, id, barcode
GNA15,ENST00000262958.3,000101001000001000
ORAI1,ENST00000617316.1,000101000100000100
ORAI3,ENST00000318663.4,000101000010100000
ORAI2,ENST00000611770.4,000101000001010000
INPP1,ENST00000322522.8,000100101000010000
P2RX5,ENST00000345901.7,000100100100100000
P2RX5,ENST00000225328.9,000100100100100000
P2RX4,ENST00000337233.8,000100100010000100
PKN2,ENST00000370521.7,000100100001001000
PKN1,ENST00000242783.10,000100011000100000
PRKD2,ENST00000595515.5,000100010100010000
PRKD2,ENST00000600194.5,000100010100010000
PRKD2,ENST00000291281.8,000100010100010000
PPP3CB,ENST00000342558.3,000100010010001000
PPP3CB,ENST00000360663.9,000100010010001000
PPP3CB,ENST00000394828.6,000100010010001000
PPP3CB,ENST00000394829.6,000100010010001000
PRKCI,ENST00000295797.4,000100010001000100
CERK,ENST00000216264.12,000011110000000000
PICK1,ENST00000356976.7,000011001100000000
PPM1B,ENST00000378551.6,000011000011000000
PRKD3,ENST00000379066.5,000011000000110000
PPM1D,ENST00000305921.7,000011000000001100
PKN3,ENST00000291906.4,000011000000000011
PPM1K,ENST00000608933.5,000010101010000000
PPM1A,ENST00000395076.8,000010100101000000
PRKCH,ENST00000555082.5,000010100000101000
PRKCH,ENST00000332981.9,000010100000101000
PRKCE,ENST00000306156.7,000010100000010100
PRKCQ,ENST00000263125.9,000010011001000000
INPPL1,ENST00000298229.6,000010010110000000
PI4KA,ENST00000255882.10,000010010000100100
INPP4B,ENST00000513000.5,000010010000011000
PI4KB,ENST00000368875.6,000001101001000000
PIKFYVE,ENST00000264380.8,000001100110000000
INPP4A,ENST00000074304.9,000001100000100100
MCTP2,ENST00000357742.8,000001100000011000
ALDH1A3,ENST00000329841.9,000001011010000000
MME,ENST00000460393.5,000001010101000000
CD24,ENST00000606017.1,000001010000101000
CD44,ENST00000263398.10,000001010000010100
CD49b,ENST00000296585.9,000000111100000000
CD49f,ENST00000264107.11,000000110011000000
CDH1,ENST00000261769.9,000000110000110000
CDH3,ENST00000264012.8,000000110000001100
CK8,ENST00000293308.11,000000110000000011
CK8,ENST00000552150.5,000000110000000011
CK8,ENST00000552551.5,000000110000000011
EGFR,ENST00000275493.6,000000001111000000
FOXA1,ENST00000250448.2,000000001100110000
Gata3,ENST00000379328.7,000000001100001100
GNB1,ENST00000610897.4,000000001100000011
GNB1,ENST00000615252.4,000000001100000011
GNB1,ENST00000378609.8,000000001100000011
GNB4,ENST00000232564.7,000000001010101000
GNG4,ENST00000391854.6,000000001010010100
GRK2,ENST00000308595.9,000000001001100100
GRK3,ENST00000324198.10,000000001001011000
GRK5,ENST00000392870.2,000000000110100100
GRK6,ENST00000528793.5,000000000110011000
HER2,ENST00000541774.5,000000000101101000
HER2,ENST00000269571.9,000000000101101000
ITGA6,ENST00000264107.11,000000000101100010
MET,ENST00000397752.7,000000000101100001
MME,ENST00000460393.5,000000000101010100
Muc1,ENST00000612778.4,000000000101010010
OCLN,ENST00000355237.6,000000000101010001
P2RY2,ENST00000393596.2,000000000101001010
p63,ENST00000354600.9,000000000101001001
PDPN,ENST00000294489.10,000000000101000110
PIK3CA,ENST00000263967.3,000000000101000101
RGS16,ENST00000367558.5,000000000100101010
RGS14,ENST00000408923.7,000000000100101001
RGS12,ENST00000382788.7,000000000100010110
SNAI2,ENST00000020945.3,000000000100010101
SRC,ENST00000373578.6,000000000011110000
Vimentin,ENST00000544301.6,000000000011100010
ARRB1,ENST00000360025.7,000000000011100001
ARRB1,ENST00000420843.6,000000000011100001
ARRB2,ENST00000269260.6,000000000011010010
EpCAM,ENST00000263735.8,000000000011010001
ESR1,ENST00000206249.7,000000000011001100
GNAO1,ENST00000262494.12,000000000011001010
GRK4,ENST00000398052.8,000000000011001001
GRK4,ENST00000398051.8,000000000011001001
GRK4,ENST00000503518.2,000000000011001001
P2RY11,ENST00000321826.4,000000000011000110
SNAI1,ENST00000244050.2,000000000011000101
Stat5A,ENST00000590949.5,000000000011000011
ACTA2,ENST00000224784.10,000000000010110010
CDH2,ENST00000269141.7,000000000010110001
CDH1,ENST00000612417.4,000000000010100011
ATXN1,ENST00000244769.8,000000000010010011
OVGP1,ENST00000369732.3,000000000010001110
